,external_gene_name
1029,PFDN1
1030,CSNK1A1
1031,PODXL2
1032,KLHL24
1033,SPTBN1
1034,PIK3R3
1035,COPA
1036,PFDN5
1037,BAZ2B
1038,KLC1
1039,HNRNPH2
1040,RPAIN
1041,RARA
1042,KDM6B
1043,MSI1
1044,AKIRIN2
1045,DCTN3
1046,ACTR1A
1047,GTF2A2
1048,SRP14
1049,SLC39A6
1050,MCL1
1051,GALNT2
1052,CEP170
1053,ARF1
1054,DYNLT1
1055,DPYSL4
1056,SCHIP1
1057,FAM168B
1058,MAGED4
1059,SORBS2
1060,JAM2
1061,PTMS
1062,CELF3
1063,VPS28
1064,ARPC5
1065,ARPC2
1066,TTC7B
1067,JAM3
1068,ARF4
1069,SEPT2
1070,AC110814.1
1071,GABARAP
1072,PKIA
1073,TBCA
1074,DCTN2
1075,BAIAP2
1076,BASP1
1077,CD151
1078,TSHZ1
1079,MXRA7
1080,NGRN
1081,TCEAL7
1082,NAA38
1083,GPC6
1084,DAZAP2
1085,ACTG1
1086,TCEAL9
1087,GNG2
1088,MAGED4B
1089,AGRN
1090,MYL6B
1091,SPTAN1
1092,GDI1
1093,ATF6B
1094,CSNK1E
1095,REPIN1
1096,FIS1
1097,VAMP2
1098,C14orf132
1099,MRPL33
1100,MEX3A
1101,MARCKS
1102,RHBDD2
1103,LAMP2
1104,AKAP8L
1105,CALCOCO1
1106,ATP6V0A1
1107,HERPUD1
1108,FAM168A
1109,PDZD4
1110,IP6K2
1111,PFN2
1112,SEL1L
1113,ATP6AP1
1114,CD59
1115,NLRP1
1116,CDK16
1117,MAGED2
1118,ASAH1
1119,AES
1120,OLFM2
1121,PLD3
1122,CADM4
1123,HOXA5
1124,AK1
1125,NPDC1
1126,ATN1
1127,PCDHB2
1128,HES1
1129,TMEM59
1130,YPEL5
1131,MXI1
1132,NKX2-2
1133,CAPNS1
1134,CDO1
1135,DLG4
1136,MTSS1L
1137,TCEAL4
1138,BEX1
1139,MEIS2
1140,EMP1
1141,DTNA
1142,GNS
1143,ITM2B
1144,SCRN1
1145,FXYD6
1146,CLSTN3
1147,APP
1148,TMCO1
1149,ARL6IP5
1150,ADAMTS16
1151,PNRC1
1152,GPC3
1153,NTRK2
1154,NCAM1
1155,LYPD1
1156,TWF1
1157,RAB3C
1158,KIF5A
1159,ATP6V0D1
1160,SQSTM1
1161,RHOBTB3
1162,UQCRQ
1163,SEC11C
1164,CASC4
1165,ADAM9
1166,ANTXR1
1167,NLGN2
1168,HMP19
1169,GAP43
1170,PAIP1
1171,CNIH2
1172,METRNL
1173,B4GALNT4
1174,TSHZ2
1175,EXOC7
1176,TTC3
1177,CRIP2
1178,ABAT
1179,PTTG1IP
1180,WBSCR17
1181,KLHDC8B
1182,MAPT
1183,SLIT1
1184,PSAP
1185,HOXC6
1186,HOXC4
1187,LBH
1188,OST4
1189,PCDHGB6
1400,GDE1
1401,RRAGD
1402,KCNG1
1403,HOXC8
1404,NTN1
1405,TNFRSF1A
1406,SLC1A3
1407,EPB41L3
1408,NFE2L1
1409,CCDC80
1410,PLTP
1411,EEF1A2
1412,PCSK1N
1413,PON2
1414,DHX40
1415,LGALS3BP
1416,EFNB3
1417,SCP2
1418,CA14
1419,ZSCAN18
1420,FOXA1
1421,MLLT1
1422,NDFIP1
1423,SERPINF1
1424,DCAF8
1425,VSTM2L
1426,CHL1
1427,SORT1
1428,IL6ST
1429,OS9
1430,CFC1
1431,SULF1
1432,SDCBP
1433,TSPAN3
1434,CNTN4
1435,CETN2
1436,CAPN5
1437,PRMT2
1438,EMC10
1439,WNT4
1440,NAXE
1441,DNALI1
1442,SHH
1443,COX6C
1444,ADAMTS15
1445,IGF2
1446,STAT3
1447,COL22A1
1448,GPRC5C
1449,ENC1
1450,CTDSP2
1451,NECTIN3
1452,KCNIP4
1490,KDM1A
1491,PAFAH1B1
1492,STARD3NL
1493,ISL1
1494,SARS
1495,GDI2
1496,SYT1
1497,DNAJA2
1498,MAPK6
1499,CRMP1
1500,NUAK1
1501,GPC4
1502,TOP2B
1503,DCX
1504,TP53INP2
1505,RAB10
1506,MLF2
1507,CHGA
